question_id,question_number,risk_level,risk_points,correct_options,option_count,correct_answer_count,average_correct_words,average_distractor_words,correct_vs_distractor_ratio,correct_vs_distractor_percent_longer,shortest_option_words,longest_option_words,option_length_ratio,correct_is_longest,correct_question_overlap,distractor_question_overlap,overlap_advantage,reasons_text,question_text
q-saa-69,69,CRITICAL,14,B,4,1,44,11,4.0,300.0,9,44,4.89,True,0.235,0.303,-0.067,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option,A Lambda function running in Account A needs to retrieve a database password secret stored in AWS Secrets Manager in Account B. How should access be granted across accounts securely?
q-saa-71,71,CRITICAL,14,C,4,1,7,1.33,5.25,425.0,1,7,7.0,True,0.0,0.0,0.0,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option,A microservice needs to retrieve API license keys stored in AWS Systems Manager Parameter Store. The keys must be encrypted at rest. Which Parameter Store type should be selected?
q-saa-78,78,CRITICAL,14,B,4,1,12,6,2.0,100.0,5,12,2.4,True,1.0,0.317,0.683,Correct answer is at least twice the average distractor length | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,A company stores sensitive patient health records in an Amazon DynamoDB table. Compliance requires encrypting data at rest using a Customer Managed KMS key that can be audited via CloudTrail. Which DynamoDB encryption setting achieves this compliance goal?
q-saa-98,98,CRITICAL,14,B,4,1,8,2.67,3.0,200.0,2,8,4.0,True,0.0,0.278,-0.278,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option,A hybrid cloud architecture requires encrypted connectivity over the public internet between an on-premises data center router and an Amazon VPC. The network configuration requires dual IPsec VPN tunnels with dynamic BGP routing for redundancy. Which AWS component terminates the VPN on the AWS side?
q-saa-104,104,CRITICAL,14,B,4,1,7,4,1.75,75.0,2,7,3.5,True,0.5,0.0,0.5,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A Windows-based enterprise application requires shared file storage accessible via the SMB protocol. The file system must integrate with self-managed Active Directory, support Multi-AZ high availability with automatic failover, and support Shadow Copies for file restoration. Which storage service should be selected?"
q-saa-109,109,CRITICAL,14,A,4,1,12,5.33,2.25,125.0,5,12,2.4,True,0.714,0.0,0.714,Correct answer is at least twice the average distractor length | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"An Auto Scaling group launches EC2 instances behind an Application Load Balancer. An EC2 instance experiences an internal web application crash, causing the ALB target group health check to return `Unhealthy`. However, the underlying EC2 hypervisor remains healthy. By default, Auto Scaling only monitors EC2 status. How can Auto Scaling be configured to terminate and replace instances when ALB health checks fail?"
q-saa-110,110,CRITICAL,14,A,4,1,9,4,2.25,125.0,3,9,3.0,True,0.429,0.133,0.295,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,A real-time telemetry pipeline ingests streaming IoT data into an Amazon Kinesis Data Stream. Five separate microservice consumers poll the stream simultaneously. Consumers experience read throttling because total read throughput exceeds 2 MB/sec per shard. Which Kinesis feature provides dedicated 2 MB/sec read throughput PER CONSUMER?
q-saa-111,111,CRITICAL,14,A,4,1,6,3.67,1.64,63.64,2,6,3.0,True,1.0,0.167,0.833,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,A company needs to migrate 50 physical and virtual Linux servers from an on-premises data center to EC2 with minimal downtime. The migration tool must continuously replicate block-level disk storage over the internet or Direct Connect and orchestrate non-disruptive cutover testing. Which AWS migration service should be used?
q-saa-121,121,CRITICAL,14,A,4,1,21,5,4.2,320.0,4,21,5.25,True,0.091,0.111,-0.02,Correct answer is at least twice the average distractor length | Longest option is at least four times the shortest option | A correct answer is also the longest answer option,"An application uploads 50 GB video files to Amazon S3 over an unstable network connection. Uploads frequently fail halfway through, requiring the application to restart the entire 50 GB transfer. How can upload performance and resiliency be optimized?"
q-saa-128,128,CRITICAL,14,"A, B",5,2,14,7,2.0,100.0,5,17,3.4,True,0.364,0.067,0.298,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,An engineering manager runs stateless batch rendering workloads on EC2 Auto Scaling groups. The workload can tolerate instance terminations. The manager wants to minimize compute costs while reducing the risk of Spot capacity unavailability. Which TWO Spot configuration options should be combined? (Select TWO.)
q-saa-145,145,CRITICAL,13,"A, B, C",6,3,14,6.67,2.1,110.0,5,15,3.0,True,0.108,0.067,0.042,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Distractor F is unusually short,"A enterprise requires a robust disaster recovery and data protection architecture for core AWS workloads. The solution must automate cross-account backup copies, replicate S3 objects to a secondary AWS Region, and automatically route global web traffic to an healthy secondary Region if the primary Region fails. Which THREE components build this resilient solution? (Select THREE.)"
q-saa-5,5,CRITICAL,12,B,4,1,24,11,2.18,118.18,9,24,2.67,True,0.111,0.27,-0.159,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A company stores millions of images in Amazon S3. Images are accessed frequently for the first 30 days, rarely accessed between 30 and 90 days, and never accessed after 90 days (but must be retained for 7 years for compliance auditing). What is the most cost-effective storage configuration?"
q-saa-12,12,CRITICAL,12,B,4,1,9,4,2.25,125.0,3,9,3.0,True,0.0,0.167,-0.167,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A media streaming platform serves static video files stored in Amazon S3 to millions of global users. Users report high video buffering latency in international regions. Which service should be added to minimize download latency globally?
q-saa-17,17,CRITICAL,12,B,4,1,13,7.33,1.77,77.27,6,13,2.17,True,0.571,0.17,0.402,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,An e-commerce website experiences predictable traffic increases every Monday at 08:00 AM. How should the EC2 Auto Scaling group be configured to ensure instances are pre-warmed and ready before traffic surges occur?
q-saa-46,46,CRITICAL,12,B,4,1,8,4.67,1.71,71.43,4,8,2.0,True,0.4,0.0,0.4,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"A company wants to delegate IAM policy creation to junior administrators. However, security governance mandates that junior administrators must not be able to grant full AdministratorAccess or escalate their own privileges. Which IAM feature enforces a maximum permission boundary for roles created by junior admins?"
q-saa-59,59,CRITICAL,12,B,4,1,21,10.33,2.03,103.23,9,21,2.33,True,0.444,0.244,0.2,Correct answer is at least twice the average distractor length | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,"A company uses a VPC Gateway Endpoint for Amazon S3 in a private subnet. The security team wants to ensure EC2 instances in this VPC can ONLY access S3 buckets owned by the company (e.g. `arn:aws:s3:::my-company-*`), blocking access to any external or third-party S3 buckets. How should this access control be enforced?"
q-saa-63,63,CRITICAL,12,B,4,1,23,9.67,2.38,137.93,7,23,3.29,True,0.333,0.162,0.171,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A media company hosts a web frontend on Amazon CloudFront backed by a standard Amazon S3 bucket origin. Direct public access to the S3 bucket objects must be completely prevented so all user requests pass exclusively through CloudFront for WAF inspection and caching. Which configuration secures the S3 origin?
q-saa-65,65,CRITICAL,12,B,4,1,10,4.33,2.31,130.77,4,10,2.5,True,0.111,0.083,0.028,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A network engineer needs to block inbound traffic from a specific malicious IPv4 IP address (`203.0.113.50`) attempting brute-force attacks against servers in a public subnet. Which network control can explicitly block this specific IP address?
q-saa-67,67,CRITICAL,12,A,4,1,19,7.33,2.59,159.09,7,19,2.71,True,0.5,0.444,0.056,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,Account A needs to grant Account B read access to an Amazon S3 bucket without requiring users in Account B to switch IAM roles via AssumeRole. Which resource-based policy allows users in Account B to access Account A S3 bucket directly?
q-saa-73,73,CRITICAL,12,A,4,1,25,10.67,2.34,134.38,10,25,2.5,True,0.273,0.162,0.111,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A security policy mandates that all objects uploaded to an Amazon S3 bucket must be encrypted at rest using Server-Side Encryption with AWS KMS (SSE-KMS) using a specified key. Any upload request that does not specify SSE-KMS encryption must be explicitly rejected. How should this compliance policy be enforced?
q-saa-77,77,CRITICAL,12,B,4,1,6,3.67,1.64,63.64,3,6,2.0,True,0.667,0.0,0.667,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,A banking application hosted on internal EC2 instances behind an internal Application Load Balancer requires HTTPS encryption in transit. The SSL/TLS certificates must be issued by a private internal Certificate Authority managed centrally in AWS. Which service generates and manages private certificates?
q-saa-80,80,CRITICAL,12,B,4,1,20,8.33,2.4,140.0,7,20,2.86,True,0.214,0.133,0.081,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A global enterprise runs a critical web application in primary (US-East-1) and secondary (US-West-2) AWS Regions. The architecture uses Route 53 Application Recovery Controller (ARC) Routing Control. During a major regional outage in US-East-1, how does Route 53 ARC execute a reliable failover to US-West-2?"
q-saa-83,83,CRITICAL,12,B,4,1,11,5,2.2,120.0,4,11,2.75,True,0.2,0.111,0.089,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A banking transaction pipeline requires that financial messages pushed to an SQS queue are processed in the EXACT order they are sent, with ZERO duplicate messages delivered to backend consumers. Which queue type meets these strict requirements?"
q-saa-95,95,CRITICAL,12,A,4,1,5,3.33,1.5,50.0,2,5,2.5,True,0.333,0.0,0.333,Correct answer is at least 35% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option | Correct answer repeats substantially more question wording than the distractors,"An enterprise wants to replace on-premises tape backup infrastructure with a cloud-based solution. The backup application uses iSCSI virtual tape interfaces. Backups must be written to virtual tapes, stored in S3, and archived to S3 Glacier for long-term retention. Which AWS service provides virtual tape interfaces?"
q-saa-97,97,CRITICAL,12,B,4,1,11,4.67,2.36,135.71,3,11,3.67,True,0.667,0.556,0.111,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"An enterprise maintains an Active-Passive disaster recovery configuration for a public web application. All DNS traffic should normally be routed to the primary AWS Region. If the primary Region ALB health check fails, Route 53 must automatically divert all DNS queries to the secondary DR Region. Which Route 53 routing policy executes this failover?"
q-saa-100,100,CRITICAL,12,A,4,1,18,6.67,2.7,170.0,5,18,3.6,True,0.083,0.133,-0.05,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A serverless workflow built with AWS Step Functions invokes an external third-party HTTP API. The third-party API intermittently returns HTTP 503 Service Unavailable errors due to throttling. How can the Step Functions state machine handle transient failures gracefully without aborting the execution?
q-saa-102,102,CRITICAL,12,B,4,1,11,4.67,2.36,135.71,4,11,2.75,True,0.333,0.25,0.083,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A container application runs on Amazon ECS with AWS Fargate. The application requires high availability across 3 Availability Zones. If a Fargate task crashes or fails its container health check, ECS must automatically launch a replacement task in a healthy AZ. Which ECS deployment construct manages task count and availability?"
q-saa-107,107,CRITICAL,12,A,4,1,15,7.33,2.05,104.55,5,15,3.0,True,0.4,0.311,0.089,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"An SQS worker process takes 5 minutes to process a complex video rendering task from a queue. However, after 30 seconds of processing, another worker instance receives the exact same message and starts duplicate processing. How can duplicate processing be prevented?"
q-saa-114,114,CRITICAL,12,A,4,1,20,7.67,2.61,160.87,7,20,2.86,True,0.25,0.319,-0.069,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A data analyst needs to run ad-hoc SQL queries on 10 TB of unorganized JSON log files stored in Amazon S3. To optimize query performance and reduce data scanned (lowering query cost), how should the data be converted and structured before querying with Amazon Athena?"
q-saa-122,122,CRITICAL,12,A,4,1,23,8.33,2.76,176.0,6,23,3.83,True,0.182,0.395,-0.213,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A high-throughput application writes sensor metrics to a DynamoDB table. The table uses `Status` (with values `Active` or `Inactive`) as the Partition Key. During peak load, the table experiences severe write throttling despite having unallocated write capacity. What is the root cause and recommended solution?"
q-saa-131,131,CRITICAL,12,"A, B",5,2,15,6,2.5,150.0,4,15,3.75,True,0.261,0.194,0.067,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A company operates hundreds of EC2 instances in private subnets that transfer petabytes of data monthly to Amazon S3 and Amazon DynamoDB. The current network path routes through NAT Gateways, generating tens of thousands of dollars in NAT data processing charges. Which TWO actions eliminate NAT Gateway data processing charges for S3 and DynamoDB? (Select TWO.)"
q-saa-132,132,CRITICAL,12,"A, B",5,2,18.5,7.33,2.52,152.27,6,19,3.17,True,0.233,0.194,0.039,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A database administrator manages multiple Amazon RDS MySQL DB instances attached to General Purpose SSD (gp2) EBS storage volumes. Storage volume sizes were over-provisioned purely to obtain higher baseline IOPS. Which TWO modifications reduce storage costs while maintaining or improving IOPS performance? (Select TWO.)
q-saa-133,133,CRITICAL,12,"A, B",5,2,14.5,6.67,2.17,117.5,6,16,2.67,True,0.45,0.361,0.089,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A company notices high monthly S3 storage bills caused by incomplete multipart file uploads and noncurrent object versions created by enabled bucket versioning. Which TWO S3 Lifecycle configurations automate the cleanup of these hidden storage costs? (Select TWO.)
q-saa-136,136,CRITICAL,12,"A, B",5,2,22,9,2.44,144.44,7,27,3.86,True,0.267,0.21,0.057,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A security architect is designing a multi-account AWS environment for an enterprise using AWS Organizations. Security policy mandates enforcing central guardrails that prevent member account administrators from disabling AWS CloudTrail or modifying security controls, while aggregating all CloudTrail logs into a central S3 bucket in a dedicated Log Archive account. Which TWO solutions fulfill this architecture? (Select TWO.)"
q-saa-142,142,CRITICAL,12,"A, B",5,2,13.5,6.67,2.02,102.5,6,17,2.83,True,0.15,0.0,0.15,Correct answer is at least twice the average distractor length | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,A containerized microservices application runs on Amazon ECS. The team wants to eliminate server management while achieving high availability across 3 Availability Zones behind an Application Load Balancer. Which TWO configurations meet these operational goals? (Select TWO.)
q-saa-4,4,CRITICAL,10,B,4,1,19,11,1.73,72.73,8,19,2.38,True,0.273,0.056,0.217,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,"A relational database hosted on Amazon RDS MySQL experiences heavy read requests, causing latency issues for write operations. The application requires automatic failover disaster recovery within the region as well. What dual-step solution should be implemented?"
q-saa-10,10,CRITICAL,10,B,4,1,7,3,2.33,133.33,3,7,2.33,True,0.833,0.667,0.167,Correct answer is at least twice the average distractor length | Longest option is at least twice the shortest option | A correct answer is also the longest answer option,"A global web application is deployed across AWS US-East and EU-West regions behind Application Load Balancers. The company wants users automatically routed to the region with the lowest network latency, with health checks to redirect traffic if a region becomes unavailable. Which Amazon Route 53 routing policy should be configured?"
q-saa-36,36,CRITICAL,10,B,4,1,5,2.67,1.88,87.5,2,5,2.5,True,0.0,0.0,0.0,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,An e-commerce company wants to protect web applications against common web exploits (such as SQL injection and cross-site scripting) and layer 7 DDoS attacks. Which service integrates directly with Application Load Balancer and CloudFront to block malicious traffic?
q-saa-41,41,CRITICAL,10,"A, B, C",6,3,10.33,6.33,1.63,63.16,5,13,2.6,True,0.247,0.083,0.164,Correct answer is at least 60% longer than the average distractor | Longest option is at least 2.5 times the shortest option | A correct answer is also the longest answer option,"A company is building an event-driven serverless order processing pipeline. Orders submitted via a web API must be buffered reliably to handle high-concurrency bursts, processed asynchronously by serverless compute without message loss, and stored in a managed NoSQL database. Which THREE AWS components build this architecture? (Select THREE.)"
q-saa-48,48,CRITICAL,10,A,4,1,18,10.33,1.74,74.19,8,18,2.25,True,0.556,0.333,0.222,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,"A mobile application requires user registration, login via social identity providers (Google and Facebook), and temporary AWS credentials so authenticated users can upload photos directly to an Amazon S3 bucket. Which combination of Amazon Cognito features should be used?"
q-saa-54,54,CRITICAL,10,B,4,1,6,3.67,1.64,63.64,3,6,2.0,True,0.333,0.111,0.222,Correct answer is at least 60% longer than the average distractor | Longest option is at least twice the shortest option | A correct answer is also the longest answer option | Correct answer repeats more question wording than distractors,"A central networking team manages a core VPC containing NAT Gateways and Transit Gateways. The team needs to share specific VPC subnets with application development teams operating in separate AWS accounts within the same organization, without granting admin access to the networking VPC. Which service enables subnet sharing across accounts?"
